dtm,prestah0,ta2200h0,ua2200h0,fkl010h0,dkl010h0,gre000h0,rre150h0
2023-01-01T00:00:00.000000+0000,660.5,3.966666666666667,33.85,8.7,133,0,0.0
2023-01-01T01:00:00.000000+0000,660.2,4.216666666666667,28.13333333333333,11.0,143,0,0.0
2023-01-01T02:00:00.000000+0000,660.4,3.8166666666666664,27.5,11.8,145,0,0.0
2023-01-01T03:00:00.000000+0000,660.7,3.6333333333333333,26.099999999999998,11.3,145,0,0.0
2023-01-01T04:00:00.000000+0000,661.2,3.983333333333333,37.766666666666666,9.4,144,10,0.0
2023-01-01T05:00:00.000000+0000,661.7,6.416666666666667,45.46666666666667,8.0,146,233,0.0
2023-01-01T06:00:00.000000+0000,661.9,9.266666666666667,41.300000000000004,6.6,139,475,0.0
2023-01-01T07:00:00.000000+0000,662.2,8.166666666666666,67.16666666666667,5.7,145,699,0.0
2023-01-01T08:00:00.000000+0000,662.4,9.700000000000001,60.71666666666666,3.3,327,878,0.0
2023-01-01T09:00:00.000000+0000,662.3,9.216666666666665,70.16666666666667,3.3,327,1006,0.0
2023-01-01T10:00:00.000000+0000,662.0,9.449999999999998,71.23333333333335,4.1,299,1085,0.0
2023-01-01T11:00:00.000000+0000,661.5,9.283333333333333,71.88333333333333,4.1,307,777,0.0
2023-01-01T12:00:00.000000+0000,660.9,9.0,75.28333333333333,5.9,300,673,0.0
2023-01-01T13:00:00.000000+0000,660.6,9.283333333333333,73.96666666666667,4.7,283,344,0.0
2023-01-01T14:00:00.000000+0000,660.6,8.133333333333335,81.89999999999999,6.0,271,556,0.0
2023-01-01T15:00:00.000000+0000,660.6,4.866666666666666,80.73333333333335,4.6,266,258,0.0
2023-01-01T16:00:00.000000+0000,660.8,2.55,42.833333333333336,3.0,139,24,0.0
2023-01-01T17:00:00.000000+0000,661.0,4.433333333333334,26.666666666666668,4.9,149,0,0.0
2023-01-01T18:00:00.000000+0000,661.2,4.683333333333334,25.066666666666666,5.9,152,0,0.0
2023-01-01T19:00:00.000000+0000,661.2,5.1499999999999995,31.016666666666666,8.1,141,0,0.0
2023-01-01T20:00:00.000000+0000,660.8,4.533333333333333,40.9,10.6,132,0,0.0
2023-01-01T21:00:00.000000+0000,660.1,3.6333333333333333,52.26666666666666,14.5,131,0,0.0
2023-01-01T22:00:00.000000+0000,659.9,3.0999999999999996,68.39999999999999,12.3,137,0,0.0
2023-01-01T23:00:00.000000+0000,659.5,3.75,64.23333333333333,11.1,129,0,0.0
2023-01-02T00:00:00.000000+0000,659.0,3.1833333333333336,77.36666666666666,11.5,125,0,0.0
2023-01-02T01:00:00.000000+0000,658.9,3.0333333333333337,84.93333333333334,9.8,124,0,0.0
2023-01-02T02:00:00.000000+0000,658.9,3.5499999999999994,81.3,14.3,126,0,0.0
2023-01-02T03:00:00.000000+0000,659.0,3.8333333333333335,85.13333333333334,15.4,128,0,0.0
2023-01-02T04:00:00.000000+0000,659.7,4.066666666666666,86.63333333333333,14.4,124,5,0.0
2023-01-02T05:00:00.000000+0000,660.0,4.733333333333333,77.68333333333332,13.3,129,125,0.0
2023-01-02T06:00:00.000000+0000,660.3,6.516666666666667,68.76666666666667,15.0,130,301,0.0
2023-01-02T07:00:00.000000+0000,661.1,8.383333333333333,59.43333333333333,13.6,121,686,0.0
2023-01-02T08:00:00.000000+0000,661.6,8.966666666666667,54.699999999999996,11.7,115,876,0.0
2023-01-02T09:00:00.000000+0000,661.6,9.5,56.083333333333336,12.4,113,1008,0.0
2023-01-02T10:00:00.000000+0000,661.2,10.183333333333332,55.0,12.8,125,1067,0.0
2023-01-02T11:00:00.000000+0000,660.8,9.450000000000001,61.78333333333333,11.2,124,1059,0.0
2023-01-02T12:00:00.000000+0000,660.2,9.533333333333333,62.36666666666667,10.7,129,929,0.0
2023-01-02T13:00:00.000000+0000,660.1,9.133333333333335,57.06666666666667,11.0,142,779,0.0
2023-01-02T14:00:00.000000+0000,660.0,7.816666666666666,63.75,13.9,135,547,0.0
2023-01-02T15:00:00.000000+0000,660.2,5.916666666666667,71.56666666666666,12.5,130,162,0.0
2023-01-02T16:00:00.000000+0000,661.0,5.016666666666666,86.41666666666667,7.6,143,12,0.0
2023-01-02T17:00:00.000000+0000,660.7,4.6499999999999995,84.06666666666666,13.3,121,0,0.0
2023-01-02T18:00:00.000000+0000,660.7,4.866666666666666,76.63333333333334,16.8,123,0,0.0
2023-01-02T19:00:00.000000+0000,660.6,5.05,79.0,18.8,123,0,0.0
2023-01-02T20:00:00.000000+0000,660.5,4.699999999999999,88.26666666666667,15.8,125,0,0.0
2023-01-02T21:00:00.000000+0000,660.9,5.033333333333333,90.05000000000001,10.8,137,0,0.0
2023-01-02T22:00:00.000000+0000,660.2,5.366666666666667,98.14999999999999,13.2,129,0,0.0
2023-01-02T23:00:00.000000+0000,660.0,5.2,99.28333333333335,9.6,,0,41.8
2023-01-03T00:00:00.000000+0000,659.9,4.8999999999999995,99.25,11.9,110,0,37.8
2023-01-03T01:00:00.000000+0000,659.5,5.433333333333334,98.8,14.1,114,0,0.3
2023-01-03T02:00:00.000000+0000,659.5,4.45,98.11666666666667,11.0,117,0,4.2
2023-01-03T03:00:00.000000+0000,660.3,4.716666666666667,98.3,14.0,120,0,5.1
2023-01-03T04:00:00.000000+0000,659.1,4.733333333333333,98.78333333333335,17.4,125,6,0.9
2023-01-03T05:00:00.000000+0000,661.0,4.716666666666667,98.68333333333334,15.1,,63,43.5
2023-01-03T06:00:00.000000+0000,660.9,5.033333333333334,99.03333333333335,15.5,118,191,0.0
2023-01-03T07:00:00.000000+0000,661.5,5.666666666666667,98.66666666666667,14.0,115,373,20.9
2023-01-03T08:00:00.000000+0000,661.5,6.633333333333334,98.86666666666667,14.3,117,452,0.2
2023-01-03T09:00:00.000000+0000,661.8,7.0,97.43333333333334,15.2,113,862,1.9
2023-01-03T10:00:00.000000+0000,661.4,7.233333333333334,98.08333333333333,10.7,112,834,1.1
2023-01-03T11:00:00.000000+0000,661.3,8.183333333333332,84.58333333333333,8.4,108,614,0.1
2023-01-03T12:00:00.000000+0000,660.6,9.6,68.35000000000001,10.5,131,928,0.0
2023-01-03T13:00:00.000000+0000,660.8,7.866666666666667,82.78333333333332,9.0,132,669,0.0
2023-01-03T14:00:00.000000+0000,661.1,7.283333333333334,75.10000000000001,5.8,133,253,0.0
2023-01-03T15:00:00.000000+0000,660.8,6.050000000000001,76.43333333333334,10.6,134,199,0.0
2023-01-03T16:00:00.000000+0000,661.2,5.3500000000000005,83.78333333333335,9.3,133,14,0.0
2023-01-03T17:00:00.000000+0000,661.5,4.983333333333333,91.5,11.2,131,0,0.0
2023-01-03T18:00:00.000000+0000,661.8,5.166666666666667,91.28333333333335,13.5,118,0,0.0
2023-01-03T19:00:00.000000+0000,661.8,5.066666666666666,93.66666666666667,12.9,117,0,0.0
2023-01-03T20:00:00.000000+0000,661.8,4.449999999999999,98.56666666666666,14.2,118,0,0.0
2023-01-03T21:00:00.000000+0000,661.3,4.183333333333334,98.78333333333335,15.0,116,0,0.0
2023-01-03T22:00:00.000000+0000,661.1,4.300000000000001,99.3,12.8,120,0,0.0
2023-01-03T23:00:00.000000+0000,660.9,4.25,99.3,7.8,115,0,0.0
2023-01-04T00:00:00.000000+0000,660.1,4.3500000000000005,99.3,12.1,110,0,0.0
2023-01-04T01:00:00.000000+0000,659.5,4.266666666666667,99.26666666666667,12.5,118,0,0.0
2023-01-04T02:00:00.000000+0000,659.1,4.083333333333333,99.26666666666667,14.4,125,0,0.0
2023-01-04T03:00:00.000000+0000,659.6,4.2,98.45,12.5,126,0,0.0
2023-01-04T04:00:00.000000+0000,659.7,4.55,95.85000000000001,14.6,126,7,0.0
2023-01-04T05:00:00.000000+0000,660.0,6.599999999999999,84.38333333333334,16.9,134,109,0.0
2023-01-04T06:00:00.000000+0000,660.3,8.016666666666667,78.31666666666668,16.1,137,477,0.0
2023-01-04T07:00:00.000000+0000,661.1,9.116666666666667,71.91666666666667,13.9,135,723,0.0
2023-01-04T08:00:00.000000+0000,661.7,10.333333333333334,67.81666666666666,10.5,145,912,0.0
2023-01-04T09:00:00.000000+0000,661.6,9.483333333333333,76.7,8.0,184,1057,0.0
2023-01-04T10:00:00.000000+0000,661.3,9.083333333333334,81.56666666666666,5.1,165,1046,0.0
2023-01-04T11:00:00.000000+0000,660.8,8.8,76.7,3.6,219,521,0.0
2023-01-04T12:00:00.000000+0000,660.4,8.950000000000001,80.13333333333334,3.1,243,429,0.0
2023-01-04T13:00:00.000000+0000,660.1,7.983333333333333,89.05,2.7,124,294,0.0
2023-01-04T14:00:00.000000+0000,660.1,7.3999999999999995,90.76666666666665,3.5,225,292,0.0
2023-01-04T15:00:00.000000+0000,660.6,5.633333333333334,81.18333333333332,2.5,327,162,0.0
2023-01-04T16:00:00.000000+0000,661.2,4.75,81.6,5.3,156,11,0.0
2023-01-04T17:00:00.000000+0000,661.7,4.3,83.81666666666666,6.7,176,0,0.0
