Date Time(UTC), ,Priority,Application, ,Message,Code, , ,Status
2024-03-24T20:33:58.576000+00:00,"","warning","Eaton 9PX3000i RT 2U","","Bypass phase in range","00000200","","","Closed"
2024-03-24T20:33:52.995000+00:00,"","warning","Eaton 9PX3000i RT 2U","","Bypass phase out range","00000200","","","Open"
2024-03-24T20:31:07.137000+00:00,"","info","Output Group 2","","Sequential shutdown canceled","00001016","","","Closed"
2024-03-24T20:31:07.126000+00:00,"","info","Output Group 1","","Sequential shutdown canceled","00001016","","","Closed"
2024-03-24T20:31:07.006000+00:00,"","info","Output","","Sequential shutdown canceled","00001016","","","Closed"
2024-03-24T20:31:06.592000+00:00,"","warning","Eaton 9PX3000i RT 2U","","End of UPS battery discharge","00000603","","","Closed"
2024-03-24T20:31:01.857000+00:00,"","info","Output Group 2","","Sequential shutdown scheduled","00001016","","","Open"
2024-03-24T20:31:01.776000+00:00,"","info","Output Group 1","","Sequential shutdown scheduled","00001016","","","Open"
2024-03-24T20:31:01.627000+00:00,"","info","Output","","Sequential shutdown scheduled","00001016","","","Open"
2024-03-24T20:31:01.305000+00:00,"","warning","Eaton 9PX3000i RT 2U","","Battery discharging","00000603","","","Open"
2024-03-24T20:30:59.326000+00:00,"","warning","Eaton 9PX3000i RT 2U","","Bypass phase in range","00000200","","","Closed"
2024-03-24T20:30:56.705000+00:00,"","warning","Eaton 9PX3000i RT 2U","","Bypass phase out range","00000200","","","Open"
2024-03-24T18:00:47.753000+00:00,"","info","Output Group 2","","Sequential shutdown canceled","00001016","","","Closed"
2024-03-24T18:00:47.735000+00:00,"","info","Output Group 1","","Sequential shutdown canceled","00001016","","","Closed"
2024-03-24T18:00:47.595000+00:00,"","info","Output","","Sequential shutdown canceled","00001016","","","Closed"
2024-03-24T18:00:47.204000+00:00,"","warning","Eaton 9PX3000i RT 2U","","End of UPS battery discharge","00000603","","","Closed"
2024-03-24T18:00:42.364000+00:00,"","info","Output Group 2","","Sequential shutdown scheduled","00001016","","","Open"
2024-03-24T18:00:42.279000+00:00,"","info","Output Group 1","","Sequential shutdown scheduled","00001016","","","Open"
2024-03-24T18:00:42.131000+00:00,"","info","Output","","Sequential shutdown scheduled","00001016","","","Open"
2024-03-24T18:00:41.768000+00:00,"","warning","Eaton 9PX3000i RT 2U","","Battery discharging","00000603","","","Open"
2024-03-24T18:00:39.713000+00:00,"","warning","Eaton 9PX3000i RT 2U","","Bypass phase in range","00000200","","","Closed"
2024-03-24T18:00:37.191000+00:00,"","warning","Eaton 9PX3000i RT 2U","","Bypass phase out range","00000200","","","Open"
2024-03-24T13:48:32.615000+00:00,"","info","Output Group 2","","Sequential shutdown canceled","00001016","","","Closed"
2024-03-24T13:48:32.596000+00:00,"","info","Output Group 1","","Sequential shutdown canceled","00001016","","","Closed"
2024-03-24T13:48:32.402000+00:00,"","info","Output","","Sequential shutdown canceled","00001016","","","Closed"
2024-03-24T13:48:31.992000+00:00,"","warning","Eaton 9PX3000i RT 2U","","End of UPS battery discharge","00000603","","","Closed"
2024-03-24T13:48:30.134000+00:00,"","warning","Eaton 9PX3000i RT 2U","","Bypass phase in range","00000200","","","Closed"
2024-03-24T13:48:27.497000+00:00,"","warning","Eaton 9PX3000i RT 2U","","Bypass phase out range","00000200","","","Open"
2024-03-24T13:48:27.034000+00:00,"","info","Output Group 2","","Sequential shutdown scheduled","00001016","","","Open"
2024-03-24T13:48:26.906000+00:00,"","info","Output Group 1","","Sequential shutdown scheduled","00001016","","","Open"
2024-03-24T13:48:26.740000+00:00,"","info","Output","","Sequential shutdown scheduled","00001016","","","Open"
2024-03-24T13:48:26.450000+00:00,"","warning","Eaton 9PX3000i RT 2U","","Battery discharging","00000603","","","Open"
2024-03-24T13:47:47.944000+00:00,"","info","Output Group 2","","Sequential shutdown canceled","00001016","","","Closed"
2024-03-24T13:47:47.927000+00:00,"","info","Output Group 1","","Sequential shutdown canceled","00001016","","","Closed"
2024-03-24T13:47:47.760000+00:00,"","info","Output","","Sequential shutdown canceled","00001016","","","Closed"
2024-03-24T13:47:47.399000+00:00,"","warning","Eaton 9PX3000i RT 2U","","End of UPS battery discharge","00000603","","","Closed"
2024-03-24T13:47:45.162000+00:00,"","warning","Eaton 9PX3000i RT 2U","","Bypass phase in range","00000200","","","Closed"
2024-03-24T13:47:42.285000+00:00,"","warning","Eaton 9PX3000i RT 2U","","Bypass phase out range","00000200","","","Open"
2024-03-24T13:47:41.864000+00:00,"","info","Output Group 2","","Sequential shutdown scheduled","00001016","","","Open"
2024-03-24T13:47:41.782000+00:00,"","info","Output Group 1","","Sequential shutdown scheduled","00001016","","","Open"
2024-03-24T13:47:41.637000+00:00,"","info","Output","","Sequential shutdown scheduled","00001016","","","Open"
2024-03-24T13:47:41.285000+00:00,"","warning","Eaton 9PX3000i RT 2U","","Battery discharging","00000603","","","Open"
2024-03-24T05:48:59.703000+00:00,"","info","Output Group 2","","Sequential shutdown canceled","00001016","","","Closed"
2024-03-24T05:48:59.688000+00:00,"","info","Output Group 1","","Sequential shutdown canceled","00001016","","","Closed"
2024-03-24T05:48:59.539000+00:00,"","info","Output","","Sequential shutdown canceled","00001016","","","Closed"
2024-03-24T05:48:59.182000+00:00,"","warning","Eaton 9PX3000i RT 2U","","End of UPS battery discharge","00000603","","","Closed"
2024-03-24T05:48:57.178000+00:00,"","warning","Eaton 9PX3000i RT 2U","","Bypass phase in range","00000200","","","Closed"
2024-03-24T05:48:56.866000+00:00,"","info","Output Group 2","","Sequential shutdown scheduled","00001016","","","Open"
2024-03-24T05:48:56.764000+00:00,"","info","Output Group 1","","Sequential shutdown scheduled","00001016","","","Open"
2024-03-24T05:48:56.592000+00:00,"","info","Output","","Sequential shutdown scheduled","00001016","","","Open"
2024-03-24T05:48:56.221000+00:00,"","warning","Eaton 9PX3000i RT 2U","","Battery discharging","00000603","","","Open"
