SEP=,
Time (UTC),Input Voltage (V),Input Frequency (Hz),Bypass Voltage (V),Bypass Frequency (Hz),Output Voltage (V),Output Frequency (Hz),Output Current (A),Output Apparent Power (VA),Output Active Power (W),Output Power Factor,Output Percent Load (%),Battery Voltage (V),Battery Capacity (%),Battery Remaining Time (s)
2024-03-19T19:32:38.000000+00:00,239.9,50.2,239.9,50.2,229.0,50.2,5.6,1280.0,1000.0,78.0,42.0,83.8,93.0,819
2024-03-19T19:33:38.000000+00:00,241.5,50.2,241.0,50.2,228.9,50.2,5.5,1270.0,990.0,78.0,42.0,83.8,93.0,819
2024-03-19T19:34:38.000000+00:00,241.4,50.2,241.4,50.2,229.0,50.2,5.5,1270.0,990.0,78.0,43.0,83.8,93.0,819
2024-03-19T19:35:38.000000+00:00,240.7,50.2,240.7,50.2,229.0,50.2,5.5,1270.0,990.0,78.0,42.0,83.8,93.0,819
2024-03-19T19:36:38.000000+00:00,241.3,50.2,241.3,50.2,229.0,50.2,5.6,1280.0,1000.0,78.0,43.0,83.8,93.0,819
2024-03-19T19:37:38.000000+00:00,241.0,50.1,241.0,50.1,229.0,50.1,5.6,1280.0,1000.0,78.0,43.0,83.8,93.0,819
2024-03-19T19:38:38.000000+00:00,241.4,50.1,241.4,50.1,229.0,50.1,5.6,1270.0,990.0,78.0,43.0,83.8,93.0,819
2024-03-19T19:39:38.000000+00:00,240.4,49.9,240.4,49.9,228.9,49.9,5.7,1290.0,1000.0,78.0,43.0,83.8,93.0,820
2024-03-19T19:40:38.000000+00:00,240.0,49.9,240.9,49.9,229.0,49.9,5.6,1290.0,1000.0,78.0,43.0,83.8,93.0,820
2024-03-19T19:41:38.000000+00:00,240.8,50.1,240.4,50.1,229.0,50.1,5.6,1280.0,990.0,77.0,43.0,83.8,93.0,820
2024-03-19T19:42:38.000000+00:00,242.5,50.1,242.2,50.1,229.0,50.2,5.6,1280.0,1000.0,78.0,43.0,83.8,93.0,820
2024-03-19T19:43:38.000000+00:00,239.1,50.3,238.6,50.3,228.9,50.3,5.5,1270.0,990.0,78.0,42.0,83.8,93.0,820
