dtm,period,operation,Sigma 1 min Average 635nm Fullscatter (Mm-1),Sigma 1 min Average 525nm Fullscatter (Mm-1),Sigma 1 min Average 450nm Fullscatter (Mm-1),Sigma 1 min Average 635nm Backscatter (Mm-1),Sigma 1 min Average 525nm Backscatter (Mm-1),Sigma 1 min Average 450nm Backscatter (Mm-1),2635000,2525000,2450000,2635090,2525090,2450090,Measure Ratio 1 min Average 635nm Fullscatter,Measure Ratio 1 min Average 525nm Fullscatter,Measure Ratio 1 min Average 450nm Fullscatter,Measure Ratio 1 min Average 635nm Backscatter,Measure Ratio 1 min Average 525nm Backscatter,Measure Ratio 1 min Average 450nm Backscatter,Measure Ratio Kalman Filtered 635nm Fullscatter,Measure Ratio Kalman Filtered 525nm Fullscatter,Measure Ratio Kalman Filtered 450nm Fullscatter,Measure Ratio Kalman Filtered 635nm Backscatter,Measure Ratio Kalman Filtered 525nm Backscatter,Measure Ratio Kalman Filtered 450nm Backscatter,5001,5002,5003,5004,5005,Dark Count 635nm Fullscatter (MHz),13525000,Dark Count 450nm Fullscatter (MHz),15635000,15525000,15450000,11635000,11525000,11450000,11635090,11525090,11450090,6001,6002,6003,cooler_duty_cycle,4035,5010,5006,26635000,26525000,26450000,6007,6008,6635000,6525000,6450000,6635090,6525090,6450090
2024-07-20T04:30:00.000000,60,0,2.855523,5.373632,6.313314,0.6729879,0.8032885,1.052225,3.165136,5.24683,6.791689,0.6040545,0.9116287,0.9574223,0.009559511,0.009946692,0.01224787,0.007019192,0.006907885,0.007978723,0.009509147,0.009960904,0.01224315,0.007064234,0.006908704,0.008007267,27.27001,658.69,22.04,26.54,662.43,213.3365,213.3365,213.3365,1645611.0,1975318.0,1449915.0,15104.29,18864.88,17554.88,11123.65,13207.2,11634.47,18.36182,,20.03772,,0.0,4.982209,,,,,,,,,,,,
2024-07-20T04:31:00.000000,60,0,3.469213,5.156525,6.820192,0.238061,0.9052372,0.767293,3.153234,5.236982,6.759115,0.6191292,0.9276161,0.9533291,0.0094736,0.009929947,0.01214109,0.007098821,0.006947486,0.007994238,0.00950707,0.009959227,0.01223758,0.007066089,0.006910753,0.008006588,27.27001,658.73,22.03,26.57,662.36,190.0025,233.3371,233.3371,1643269.0,1973258.0,1449053.0,15064.2,18607.54,17379.45,11322.3,13372.51,11908.25,18.21533,,20.15194,,0.0,5.006873,,,,,,,,,,,,
2024-07-20T04:32:00.000000,60,0,2.950844,5.047899,5.667414,0.8851633,1.213453,0.869771,3.138634,5.235792,6.700499,0.6089978,0.9119453,0.9462452,0.009464657,0.009958931,0.01205322,0.007042672,0.006875338,0.007990108,0.009504769,0.009959223,0.01222733,0.007064835,0.006908842,0.008005694,27.27999,658.71,22.37,26.55001,662.45,223.3368,223.3368,223.3368,1644604.0,1973791.0,1450551.0,15030.8,18754.59,17695.22,11061.89,13233.92,11579.38,18.20801,,19.83784,,0.0,5.006837,,,,,,,,,,,,
2024-07-20T04:33:00.000000,60,0,2.896661,5.236662,5.668417,0.4289186,0.6504469,0.8437862,3.100661,5.207861,6.666677,0.6118808,0.8989286,0.9354782,0.009388818,0.009870371,0.01212114,0.007070722,0.006878012,0.007972021,0.009498517,0.009954444,0.01222146,0.007065188,0.006907186,0.008003841,27.27999,658.8,22.58,26.55999,662.46,220.0034,220.0034,220.0034,1645608.0,1975054.0,1449911.0,14372.78,18574.12,17964.23,11065.23,12935.03,11569.36,18.27393,,19.5523,,0.0,5.000407,,,,,,,,,,,,
2024-07-20T04:34:00.000000,60,0,2.440149,4.665779,6.063784,0.656724,0.6713114,0.7212706,3.118338,5.181688,6.679907,0.6279411,0.89046,0.9472218,0.009552309,0.009884848,0.01228619,0.007099042,0.006888512,0.008038381,0.00950138,0.009950754,0.012225,0.00706718,0.006906101,0.008005867,27.27999,658.76,22.75,26.55001,662.46,213.3365,213.3365,213.3365,1645608.0,1975054.0,1449911.0,15072.55,19045.36,18154.71,11101.95,13297.37,11811.42,18.43506,,19.72363,,0.0,5.006567,,,,,,,,,,,,
2024-07-20T04:35:00.000000,60,0,3.423649,4.75905,7.047155,0.8861146,1.037317,1.165414,3.094419,5.157543,6.646551,0.6607347,0.9028254,0.9720449,0.009438744,0.009884925,0.01211628,0.007137621,0.006924793,0.008072544,0.009497657,0.009946936,0.01221868,0.0070713,0.006907557,0.008009418,27.27999,658.72,23.03,26.58001,662.39,216.67,216.67,216.67,1640807.0,1970547.0,1445676.0,14870.46,18983.53,17768.74,11091.94,13337.44,11796.4,18.27393,,20.2376,,0.0,4.987885,,,,,,,,,,,,
2024-07-20T04:36:00.000000,60,0,2.74098,4.758648,6.038504,1.19954,1.035651,0.8976936,3.114439,5.150112,6.60721,0.6404757,0.8926229,0.9685564,0.009553643,0.009927831,0.01209756,0.007024073,0.006895958,0.007998348,0.009500728,0.00994592,0.01221213,0.007068807,0.006906459,0.008008962,27.27999,658.77,23.36,26.58001,662.48,206.6697,206.6697,206.6697,1641908.0,1975629.0,1452766.0,15794.11,18555.74,17183.98,11379.06,13232.25,11756.33,18.2373,,19.75218,,0.0,4.994197,,,,,,,,,,,,
2024-07-20T04:37:00.000000,60,0,3.432626,5.033413,5.926401,0.2771583,0.8120728,0.8983612,3.107539,5.128531,6.592997,0.66958,0.8952456,0.949461,0.009480738,0.00988464,0.01216894,0.007135273,0.006909176,0.007960121,0.009499684,0.009942652,0.01220991,0.007072374,0.006906617,0.008006002,27.27999,658.87,23.01,26.6,662.55,190.0025,190.0025,190.0025,1643046.0,1973314.0,1448971.0,14960.65,18691.09,18208.18,11288.91,13267.31,11696.24,18.48633,,19.95206,,0.0,5.018359,,,,,,,,,,,,
2024-07-20T04:38:00.000000,60,0,3.545061,4.756224,6.343763,1.180748,0.9145784,0.6420479,3.138284,5.137991,6.556036,0.6900187,0.888072,0.9536867,0.009572279,0.009969462,0.01211354,0.007119169,0.006891504,0.008020775,0.009504762,0.009944126,0.01220473,0.007074874,0.006905779,0.008006802,27.27999,658.8,22.94,26.61001,662.49,220.0034,200.0028,200.0028,1644774.0,1976392.0,1451081.0,15353.15,19600.19,17733.65,10920.01,12826.51,11975.03,18.20068,,20.06628,,0.0,4.993921,,,,,,,,,,,,
2024-07-20T04:39:00.000000,60,0,3.544931,5.273384,6.020838,1.049982,0.7754574,1.0463,3.115486,5.142458,6.518755,0.7101912,0.8973932,0.9420252,0.009461972,0.00996508,0.01206795,0.007120893,0.006930953,0.007977352,0.009500998,0.00994468,0.01219747,0.007077347,0.006907135,0.008005155,27.27999,658.78,23.04,26.61999,662.52,220.0034,220.0034,223.3368,1644142.0,1976327.0,1451599.0,14715.14,18717.83,17752.03,11487.56,13061.93,11624.45,18.28857,,20.00917,,0.0,5.012278,,,,,,,,,,,,
2024-07-20T04:40:00.000000,60,0,2.878728,5.272835,5.746752,1.063648,1.083738,0.7573462,3.124306,5.136633,6.491648,0.6979618,0.8811474,0.936202,0.009534085,0.009921252,0.01213109,0.007050121,0.006867049,0.00798603,0.009502741,0.009943858,0.01219352,0.007075881,0.006904985,0.008004143,27.27999,658.87,23.09,26.63,662.52,233.3371,233.3371,233.3371,1645060.0,1973854.0,1449767.0,14980.69,18998.57,17503.08,11101.95,13030.21,11914.93,18.33252,,19.8664,,0.0,5.030089,,,,,,,,,,,,
2024-07-20T04:41:00.000000,60,0,3.314827,4.991249,6.121874,0.2063444,0.5855584,0.8141708,3.092868,5.112709,6.475443,0.6741114,0.8677654,0.9428902,0.009399209,0.009875459,0.01214054,0.007015362,0.00687283,0.00802747,0.009497244,0.009940177,0.01219069,0.007072938,0.006903221,0.008005312,27.29,658.86,23.27,26.63,662.58,236.6706,236.6706,236.6706,1643649.0,1974987.0,1449054.0,15126.0,18644.3,17738.66,11302.27,13021.86,11742.98,18.33252,,20.00917,,0.0,4.98755,,,,,,,,,,,,
2024-07-20T04:42:00.000000,60,0,2.501949,4.696766,6.175409,0.7948179,0.6307755,1.089458,3.074025,5.073486,6.486036,0.6800303,0.8773336,0.9282894,0.009444906,0.009835826,0.01222947,0.007087787,0.006923832,0.007971375,0.009494167,0.00993416,0.01219291,0.007073659,0.006904432,0.008003324,27.29,658.85,23.21,26.61001,662.63,210.0031,210.0031,210.0031,1643649.0,1974987.0,1449054.0,15039.15,18828.12,18041.09,11215.46,13155.44,11609.43,18.31787,,19.78074,,0.0,4.962455,,,,,,,,,,,,
2024-07-20T04:43:00.000000,60,0,2.777254,4.442423,6.706049,0.7946892,1.028182,0.7165651,3.118997,5.063009,6.48612,0.6794286,0.8949614,0.944911,0.009632839,0.009904229,0.01218315,0.007074946,0.006944476,0.008044934,0.009501631,0.009932527,0.0121924,0.0070736,0.006906756,0.008005581,27.29,658.87,23.04,26.64001,662.58,240.004,240.004,240.004,1642464.0,1974132.0,1450739.0,15187.8,18669.37,17914.1,11162.05,13157.11,11771.36,18.31055,,20.06628,,0.0,5.017996,,,,,,,,,,,,
2024-07-20T04:44:00.000000,60,0,3.908508,4.882002,6.43329,0.690239,1.189233,0.8517675,3.093578,5.062273,6.490507,0.664753,0.9016647,0.9410944,0.009426128,0.009928885,0.01219913,0.007040687,0.00692273,0.007991827,0.009497559,0.009932319,0.01219279,0.007071809,0.006907615,0.008005209,27.29,658.9,22.84,26.64999,662.66,196.6694,196.6694,196.6694,1646004.0,1976361.0,1451243.0,14725.16,18776.31,17371.1,11125.32,13197.18,11801.41,18.41309,,19.95206,,0.0,5.01199,,,,,,,,,,,,
