,Power factor(%),Total cumulative energy(T1+T2)(kWh),B phase current(A),Time,C phase current(A),B phase power factor(%),A phase power factor(%),A phase active power(kW),B phase active power(kW),Meter No.,T1 active energy(+)(kWh),C phase power factor(%),Apparent power(+)(kVA),Active power(+)(kW),B phase voltage(V),A phase voltage(V),A phase apparent power(kVA),C phase active power(kW),C phase apparent power(kVA),B phase apparent power(kVA),C phase voltage(V),T2 active energy(+)(kWh),ROW_NUMBER,A phase current(A)
0,,,4.5,2024-01-09 05:00:00,0.38,0.965,0.87,,,40016115960,,0.196,,,238.0,241.0,,,,,243.0,,1,0.19
1,,,4.51,2024-01-09 04:00:00,0.38,0.965,0.875,,,40016115960,,0.197,,,238.0,240.0,,,,,242.0,,2,0.19
2,,,4.44,2024-01-09 03:00:00,0.39,0.963,0.867,,,40016115960,,0.194,,,242.0,244.0,,,,,245.0,,3,0.19
3,,34334.416,4.5,2024-01-09 02:00:00,0.38,0.964,0.864,,,40016115960,15754.481,0.193,,1.0966,241.0,243.0,,,,,245.0,18579.935,4,0.19
4,0.939,34333.33,4.45,2024-01-09 01:00:00,0.39,0.962,0.863,,,40016115960,15753.395,0.193,1.1586,1.0879,242.0,244.0,,,,,246.0,18579.935,5,0.19
5,0.939,34332.244,4.42,2024-01-09 12:00:00,0.39,0.962,0.862,,,40016115960,15752.309,0.192,1.149,1.0789,242.0,244.0,,,,,246.0,18579.935,6,0.19
6,0.938,34331.165,4.49,2024-01-09 11:00:00,0.38,0.963,0.864,,,40016115960,15751.23,0.193,1.1631,1.091,241.0,243.0,,,,,245.0,18579.935,7,0.19
7,0.937,34330.079,4.47,2024-01-09 10:00:00,0.38,0.962,0.86,,,40016115960,15750.144,0.191,1.1618,1.0886,241.0,243.0,,,,,245.0,18579.935,8,0.19
8,0.941,34328.993,4.44,2024-01-09 09:00:00,0.38,0.962,0.861,,,40016115960,15749.058,0.192,1.1469,1.0792,241.0,243.0,,,,,245.0,18579.935,9,0.19
9,0.94,34327.907,4.5,2024-01-09 08:00:00,0.38,0.964,0.865,,,40016115960,15747.972,0.194,1.1498,1.0808,238.0,240.0,,,,,243.0,18579.935,10,0.19
